Unnamed: 0,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,transistor_density,gflops_per_watt,process_generation
34,Intel Xeon Platinum 8380,CPU,2021-04-06,10.0,270.0,238.96748971644195,10854.00186498004,2300.0,Intel,Intel,26792.488535713095,13392.572081468346,837.2347540209701,45.42041211488376,49.60211882025313,4
35,Intel Xeon Phi 7120A,CPU,2014-04-06,22.0,300.0,350.0,5000.0,1238.0,Intel,Intel,6443.259481655414,650.5,111.8076874354157,14.285714285714286,2.1683333333333334,2
36,Intel Core i3-8020,CPU,2018-09-01,14.0,65.0,199.5131037253992,3691.097798754366,3700.0,Intel,Intel,28091.465988443113,13661.648549166179,877.858988976908,18.50052818502902,210.17920844871045,3
37,Intel Atom S1220,CPU,2012-12-11,32.0,8.0,124.18616696514242,692.4189793144683,1600.0,Intel,Intel,1194.8479792171347,4156.1510285439845,129.88979378203481,5.575653039591939,519.5188785679981,1
38,AMD Phenom X4 9600,CPU,2007-11-19,65.0,95.0,285.0,450.0,2300.0,Unknown,AMD,18670.909833646405,9693.056039163332,572.2680016808725,1.5789473684210527,102.03216883329823,0
39,Intel Core i3-2330M,CPU,2011-06-01,32.0,35.0,149.0,624.0,2200.0,Intel,Intel,17790.365910421155,9422.750111907422,539.4406123969013,4.1879194630872485,269.2214317687835,1
40,AMD Opteron X2 180,CPU,2005-09-26,90.0,110.0,199.0,233.0,2400.0,Unknown,AMD,18081.57411426816,9534.011209995675,549.6141494327198,1.170854271356784,86.67282918177887,0
41,AMD E2-3200,CPU,2011-09-07,32.0,65.0,228.0,1178.0,2400.0,Unknown,AMD,17165.257181463658,8724.151332510164,540.7864722466197,5.166666666666667,134.21771280784867,1
42,AMD Turion 64 MT-34,CPU,2005-03-10,90.0,25.0,125.0,114.0,1800.0,Unknown,AMD,15910.397879499757,8900.530994803246,467.6395874261431,0.912,356.02123979212985,0
43,Intel Pentium III  866,CPU,2001-06-01,180.0,38.0,80.0,44.0,866.0,Intel,Intel,4249.4713608060965,899.694817506939,238.06705906491257,0.55,23.676179408077342,0
44,Intel Core 2 Quad Q9550S,CPU,2009-01-27,45.0,65.0,107.0,820.0,2833.0,Intel,Intel,16046.34428064421,8209.93455507667,507.2262158364315,7.663551401869159,126.30668546271801,1
45,Intel Core i7-4500U,CPU,2013-06-04,22.0,15.0,118.0,1300.0,1800.0,Intel,Intel,15854.660126280776,8892.8474472627,465.26721530216463,11.016949152542374,592.8564964841801,2
46,AMD Opteron X2 185,CPU,2006-03-06,90.0,110.0,199.0,233.0,2600.0,Unknown,AMD,17495.68026105169,9353.998917112058,527.7764657732365,1.170854271356784,85.0363537919278,0
